serial,Gora,Ten1,Tied,LLord,Furn,DMHSIZE,NumAdult,NumChild,NumDepCh,N1TO4,N5TO10,N11TO15,RESPSEX,RESPAGE,RESPMAR,RESPWith,RESPHldr,RELHRP,HHTypb,HHTYPA,HHTYPe,Parent,ParTod,Cars,CAR,Numcar,FullEd,HighEd,Highed4,Wrking,Qhealth1,SchemeET,JbAway,OwnBus,RelBus,Looked,StartJ,YInAct,DVILO3a,DVILO4a,Stat,SVise,EmpNo,Solo,SENo,FtPtWk,Parthrs,ES2000,NSSECB,nssecac,NSECAC5,NSECAC3,Everwk,sumgross,Nation1,Nation2,Nation3,Nation4,Nation5,Nation6,Ethnic,Paidjob,AGEX,AGEH,DeFact1,DeFacto,LEFTED,TENgrp,DiaryDay,TotUs1,dyear
2005060903312,5,4,2,1,3,4,1,3,3,1,2,0,2,24,1,2,1,0,4,7,4,1,1,2,1,-1,16,6,2,2,2,2,2,2,2,2,-1,2,3,4,1,2,1,-1,-1,1,-1,7,12.6,6,5,3,1,15,1,-1,-1,-1,-1,-1,1,0,1,3,2,3,2,3,1,-1,2005
2005060903313,5,4,2,1,3,2,2,0,0,0,0,0,2,50,1,1,5,2,3,4,3,2,-1,1,2,1,16,8,4,2,4,2,2,2,2,2,-1,5,3,4,1,1,2,-1,-1,2,1,4,5,2,1,1,1,17,1,-1,-1,-1,-1,-1,1,0,3,9,1,2,2,3,4,-1,2005
2005060903314,5,4,2,1,3,2,2,0,0,0,0,0,1,64,2,-1,3,0,3,3,3,2,-1,1,2,1,15,8,4,2,4,2,2,2,2,2,-1,5,3,4,1,2,3,-1,-1,1,-1,7,13.4,7,5,3,1,13,5,-1,-1,-1,-1,-1,1,0,4,10,1,1,2,3,1,-1,2005
2005060903316,5,4,2,1,3,2,2,0,0,0,0,0,1,83,2,-1,3,0,3,4,3,2,-1,1,2,1,14,8,4,2,3,-1,2,2,2,2,-1,6,3,4,1,2,2,-1,-1,1,-1,7,12.4,6,5,3,1,12,1,-1,-1,-1,-1,-1,1,0,6,12,1,1,1,3,4,-1,2005
2005060903318,5,1,-1,-1,-1,1,1,0,0,0,0,0,2,83,5,-1,1,0,1,2,1,2,-1,2,1,-1,14,8,4,2,3,-1,2,2,2,2,-1,6,3,4,1,2,2,-1,-1,1,-1,7,12.3,6,5,3,1,14,1,-1,-1,-1,-1,-1,1,0,6,12,3,4,1,1,2,-1,2005
2005060903319,5,4,2,1,3,2,2,0,0,0,0,0,2,49,2,-1,3,1,3,3,3,2,-1,2,1,-1,15,8,4,1,3,-1,-1,-1,-1,-1,-1,-1,1,1,1,2,1,-1,-1,2,-1,7,13.4,7,5,3,-1,12,1,-1,-1,-1,-1,-1,1,1,3,8,1,1,2,3,1,25,2005
2005060903320,5,2,-1,-1,-1,7,3,4,5,1,1,2,2,37,2,-1,3,1,2,7,2,1,1,1,2,1,16,5,2,2,1,2,1,-1,-1,-1,-1,-1,1,1,1,2,1,-1,-1,2,-1,7,7.2,3,2,2,-1,8,1,-1,-1,-1,-1,-1,1,2,2,6,1,1,2,2,1,14,2005
2005060903321,5,4,2,1,3,2,2,0,0,0,0,0,1,52,4,2,5,3,6,4,5,2,-1,2,1,-1,15,8,4,2,3,2,2,2,2,2,-1,2,3,4,1,2,1,-1,-1,1,-1,7,12.3,6,5,3,1,9,1,-1,-1,-1,-1,-1,1,0,3,9,4,5,2,3,4,-1,2005
2005060903323,5,4,2,1,3,1,1,0,0,0,0,0,2,67,5,-1,1,0,1,2,1,2,-1,2,1,-1,15,8,4,2,3,-1,2,2,2,2,-1,6,3,4,1,2,1,-1,-1,2,1,7,13.2,7,5,3,1,15,1,-1,-1,-1,-1,-1,1,0,5,11,3,4,2,3,4,-1,2005
2005060903325,5,2,-1,-1,-1,3,2,1,1,0,1,0,1,23,1,1,3,0,2,6,2,1,2,1,2,1,16,5,2,1,1,-1,-1,-1,-1,-1,-1,-1,1,1,1,2,2,-1,-1,1,-1,7,12.4,6,5,3,-1,23,5,-1,-1,-1,-1,-1,1,1,1,3,1,2,2,2,3,46,2005
